target,model,feature_set,n_features,train_rows_used,train_time_sec,artifact_key,val_all_MAE,val_all_MSE,val_all_RMSE,val_all_MaxError,val_all_R2,val_all_NRMSE_range,val_all_NRMSE_mean,val_daylight_n,val_daylight_MAE,val_daylight_MSE,val_daylight_RMSE,val_daylight_MaxError,val_daylight_R2,val_daylight_NRMSE_range,val_daylight_NRMSE_mean,val_all_skill_vs_persistence,val_daylight_skill_vs_persistence,test_all_MAE,test_all_MSE,test_all_RMSE,test_all_MaxError,test_all_R2,test_all_NRMSE_range,test_all_NRMSE_mean,test_daylight_n,test_daylight_MAE,test_daylight_MSE,test_daylight_RMSE,test_daylight_MaxError,test_daylight_R2,test_daylight_NRMSE_range,test_daylight_NRMSE_mean,test_all_skill_vs_persistence,test_daylight_skill_vs_persistence,params
target_1h,Persistence,baseline,0,0,0.0,,261.8727016574586,159349.56538156906,399.1861287439345,1276.884,0.8955383591334026,0.10197262806897557,0.4204509512970024,2302,482.7960781928758,297769.2664578349,545.6823860615577,1276.884,0.7826025803328884,0.13981316291348514,0.30457575962628375,0.0,0.0,234.23818032786886,131899.0710340328,363.17911701257384,1119.3119999999997,0.8879508658257318,0.09612032591019798,0.45054588374897203,2223,447.60592712550607,255927.2401853927,505.89251841215514,1119.3119999999997,0.7615131862556153,0.13423286294411202,0.31765342755744574,0.0,0.0,
target_1h,LinearRegression,paper,11,17208,0.0144500732421875,target_1h__LinearRegression__paper,481.5743024195455,340079.13055092207,583.1630394245867,1663.168889586152,0.7770610549406363,0.1489697748514772,0.6142283938042383,2302,578.962157263937,470079.5312103234,685.6234616831044,1663.168889586152,0.6568011254515391,0.17566846061766372,0.38268467517691984,-0.4608800192019391,-0.25645151684584544,450.3520025928004,283796.26548184647,532.7253189795342,1373.2903223337375,0.7589131933997715,0.14099304966137186,0.6608783060254466,2223,496.9148469490057,335396.2678659931,579.1340672642157,1373.2903223337375,0.6874596576465397,0.15366668026904698,0.36364230500812705,-0.46683907203037345,-0.14477689664584048,
target_24h,MLP,lite,24,17208,8.268516540527344,target_24h__MLP__lite,99.04506439418202,45837.65787551915,214.09730936076508,2131.7029602994644,0.9700951072696601,0.05469144272800694,0.22458817412585955,2306,181.36678551363795,86276.58143114058,293.7287548592078,2131.7029602994644,0.9372295047771292,0.07525833214428297,0.16356546990448836,0.18649803775265672,0.18683513983670552,92.12437054065359,41217.800752355266,203.02167557272122,2129.7824253123504,0.9647460692564203,0.05373246618199366,0.25298698965798555,2219,177.55838759369001,81515.3293859577,285.5088954585438,2129.7824253123504,0.92352206289587,0.07575655902898343,0.17975061884299126,0.17889302353205383,0.17922291072653063,
target_24h,CatBoost,full,67,17208,4.136908531188965,target_24h__CatBoost__full,102.44362126259036,47208.34707747396,217.27481924391046,2213.378535035092,0.9692008575315427,0.0555031418582323,0.22792138342705628,2306,185.08874615640158,88797.09017013377,297.9884061001934,2213.378535035092,0.9353957095671689,0.07634972766688532,0.1659374945882651,0.17442450664328912,0.1750426317883167,93.13439418696008,42427.70564581299,205.97986708854094,2159.5002000569084,0.9637112274516246,0.054515392069760304,0.2566732165808392,2219,177.86305743766442,83860.00137563316,289.5859136346814,2159.5002000569084,0.9213222842983109,0.07683834972985373,0.1823174269244623,0.1669288247118259,0.16750235432792582,
target_24h,Ridge,lite,24,17208,0.010382890701293945,target_24h__Ridge__lite,112.07677948375549,48613.38557760305,220.48443386689013,2143.4991929049343,0.9682841980080029,0.056323042186992966,0.23128827061482568,2306,185.07290117720686,90097.53026737197,300.16250643171935,2143.4991929049343,0.9344495748506877,0.07690676936661064,0.16714816169682242,0.1622289876914278,0.16902380672328798,108.7320878226934,47265.373199736365,217.406010035915,2200.5277401233884,0.9595735298114434,0.057539477245781255,0.2709114278432744,2219,185.94919319225735,92137.61845705548,303.5417902975725,2200.5277401233884,0.913556198050561,0.08054138389457045,0.1911037642559917,0.12071658820189601,0.1273821899203319,
target_24h,RandomForest,full,67,17208,20.08103060722351,target_24h__RandomForest__full,104.36169722938887,51477.40166582996,226.88631881589941,2195.236066861859,0.9664156886236668,0.057958412220766004,0.2380038508150377,2306,196.57983551580085,96972.0964738457,311.40343041438337,2195.236066861859,0.9294479867248626,0.07978688640214386,0.17340777020626638,0.13790385262247118,0.1379041964459401,90.4448409642167,44570.43950689931,211.11712272314463,2207.567852834951,0.961878529205677,0.05587503711197514,0.2630747933308862,2219,178.98455604502726,88216.62446616757,297.0128355242709,2207.567852834951,0.9172348868822159,0.07880899952564628,0.18699326654623027,0.14615155337085806,0.14615154029809174,
target_24h,XGBoost,full,67,17208,1.9931845664978027,target_24h__XGBoost__full,106.10178391602798,51849.49797626964,227.70484838112174,2224.98825,0.9661729297052406,0.058167506688002406,0.23886248869829826,2306,194.67696946346584,97598.13397344336,312.40700051926393,2224.98825,0.9289925133713062,0.08004401823222082,0.17396661714607506,0.134793699536223,0.1351258918690169,92.74596137097537,44099.206124307355,209.9981098112727,2247.360076171875,0.9622815790708014,0.055578875023494914,0.2616803820831005,2219,180.49826689104228,87262.84545204365,295.4028528163593,2247.360076171875,0.9181297253377908,0.07838180880764199,0.1859796540365085,0.1506773228784919,0.1507798966883821,
target_24h,HGBR_tuned_5,full,67,17208,5.271459102630615,target_24h__HGBR_tuned_5__full,105.09115533354425,52328.88598627568,228.7550786021497,2283.4663353167834,0.9658601727346646,0.058435789396253476,0.23996418067404848,2306,192.97434904951305,98418.67785672541,313.7175128307717,2283.4663353167834,0.9283955269695348,0.08037979390684245,0.17469638758394088,0.13080315734693249,0.13149784203426285,97.68383246673939,46589.674639502555,215.84641446987845,2326.1947634104363,0.9601514604581837,0.05712670892548617,0.268968002904915,2219,190.04315906641665,92171.66740402266,303.59787121128284,2326.1947634104363,0.9135242532219718,0.08055626433128354,0.19113907166358937,0.12702426345937046,0.12722096927239013,"{""learning_rate"": 0.03, ""max_iter"": 900, ""max_leaf_nodes"": 63, ""l2_regularization"": 1.0}"
target_24h,HGBR_tuned_3,full,67,17208,2.6048851013183594,target_24h__HGBR_tuned_3__full,106.583154889679,52656.27669276105,229.46955504545923,2284.2680707563886,0.9656465801469949,0.05861830335495965,0.24071366678547101,2306,194.0474568006413,98934.82148870615,314.5390619441505,2284.2680707563886,0.9280200068591161,0.08059028884485811,0.1751538745155279,0.1280883731660981,0.12922344819693432,95.45867253532153,45488.11553560576,213.2794306434771,2274.019559753073,0.9610936332002973,0.05644732150907984,0.26576926312055443,2219,185.1759431213309,89959.30122807992,299.9321610432598,2274.019559753073,0.9155999020910814,0.07958360956239806,0.18883121477477707,0.13740625012356555,0.13775910300373295,"{""learning_rate"": 0.03, ""max_iter"": 800, ""max_leaf_nodes"": 31, ""l2_regularization"": 0.1}"
target_24h,HistGradientBoosting,full,67,17208,1.9696917533874512,target_24h__HistGradientBoosting__full,107.26455620798113,52918.95551657822,230.04120395394,2243.2694468682985,0.9654752061629637,0.058764331829731474,0.24131332674841058,2306,195.29858970063023,99461.96078956277,315.3759039456927,2243.2694468682985,0.9276364868538339,0.08080470208245392,0.17561987742792126,0.12591628837832514,0.12690671720650404,95.7276730324819,45780.94569802292,213.96482350616168,2298.5953688974873,0.9608431731059436,0.05662872011448337,0.2666233368374346,2219,186.0188022439956,90555.87981145816,300.92504018685145,2298.5953688974873,0.9150401901973682,0.07984705882316222,0.18945631137714483,0.13463422659659952,0.13490478754652568,
target_24h,HGBR_tuned_2,full,67,17208,1.9126343727111816,target_24h__HGBR_tuned_2__full,107.26455620798113,52918.95551657822,230.04120395394,2243.2694468682985,0.9654752061629637,0.058764331829731474,0.24131332674841058,2306,195.29858970063023,99461.96078956277,315.3759039456927,2243.2694468682985,0.9276364868538339,0.08080470208245392,0.17561987742792126,0.12591628837832514,0.12690671720650404,95.7276730324819,45780.94569802292,213.96482350616168,2298.5953688974873,0.9608431731059436,0.05662872011448337,0.2666233368374346,2219,186.0188022439956,90555.87981145816,300.92504018685145,2298.5953688974873,0.9150401901973682,0.07984705882316222,0.18945631137714483,0.13463422659659952,0.13490478754652568,"{""learning_rate"": 0.05, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""l2_regularization"": 0.1}"
