split,model,horizon,RMSE,MAE,R2,daylight_RMSE,n_daylight
test,Ridge,8,199.40473666201152,98.45733986375863,0.9717770648509428,273.54236865867625,2293
test,Ridge,9,210.42364615217141,112.41672061452154,0.960700289688258,294.8742205764084,2189
test,Ridge,10,210.91333811713324,115.48185186144258,0.9579780330596701,295.4243264757265,2189
test,Ridge,11,199.9439976613797,105.56538523586204,0.9682481704825375,280.0994626645665,2189
test,Ridge,12,183.1661473779424,84.69158321944496,0.9784078323734604,248.56619394994146,2344
test,Ridge,13,182.73617506351653,76.64674434613931,0.979581768517493,245.83756673851397,2399
test,Ridge,14,199.2234690296354,93.7133619760797,0.9718319764825145,273.87867450491365,2293
test,Ridge,15,210.37021482432252,108.07005084157399,0.9607241925218284,295.58444396961295,2189
test,Ridge,16,212.526285023293,113.1997632241723,0.9573310976933516,298.67502842490325,2189
test,Ridge,17,202.3979345159269,104.4987284237864,0.9674586961262136,284.67041952309404,2189
test,Ridge,18,185.53882835526684,83.91156382012754,0.9778402938056249,252.6985792736328,2344
test,Ridge,19,183.5573963841643,73.59621316035208,0.9793928443258244,247.64286034021367,2398
test,Ridge,20,197.48289008085595,87.46157934678209,0.9723169724915373,272.5870720022552,2292
test,Ridge,21,207.13946447418962,101.44772213715136,0.9619218034658692,292.63170196585827,2188
test,Ridge,22,208.01619350050834,106.39838852336588,0.9591299263824781,293.86693160504365,2188
test,Ridge,23,198.75457253682603,97.04371546152005,0.9686234590714962,280.723257754644,2188
test,Ridge,24,186.20810313396896,80.36017365441465,0.9776802637933757,254.13262563780904,2343
test,Random Forest,1,79.59544092531648,30.77919738378647,0.9961253570343271,107.51677668488661,2398
test,Random Forest,2,114.87994079712071,50.50998260293995,0.9906327738917091,158.75148137431552,2292
test,Random Forest,3,150.585033497757,71.6019048483807,0.9798769111765055,212.98372792798565,2188
test,Random Forest,4,173.42864407049026,83.16391329714118,0.9715919496709606,245.29316284396188,2188
test,Random Forest,5,181.29779405454036,81.7751140947453,0.97389385390816,256.4230929591775,2188
test,Random Forest,6,179.25020302511862,73.22875109236782,0.9793178469967564,244.98218935026193,2343
test,Random Forest,7,182.23020895428965,71.68831063763221,0.9796906487607082,246.18656661448463,2398
test,Random Forest,8,196.1807235520382,85.41248210910253,0.9726823144830221,271.04414821005435,2293
test,Random Forest,9,204.55235832449262,99.04706645823516,0.962862792206794,289.2475877507405,2189
test,Random Forest,10,204.25402801258784,103.60567079092614,0.9605897176955178,288.8256723672328,2189
test,Random Forest,11,195.4759326520433,93.84678778649466,0.9696514043258153,276.41290418422943,2189
test,Random Forest,12,184.95202475013957,77.63002232562252,0.9779847307292349,252.72200104855304,2344
test,Random Forest,13,187.31735102798223,73.27793571407759,0.9785451700011758,253.0121188801903,2399
test,Random Forest,14,201.72805489922453,87.07805653948418,0.9711192823669919,278.7089061040231,2293
test,Random Forest,15,209.42783845788023,100.9741224149931,0.9610752849214275,296.1418620982078,2189
test,Random Forest,16,208.33899561675264,105.21995301798977,0.9589958983835986,294.6021816580228,2189
test,Random Forest,17,197.82173347812926,94.79178934007957,0.9689135732682801,279.7302256810082,2189
test,Random Forest,18,184.2543451529068,77.67243118509073,0.9781460545291109,251.76852016385072,2344
test,Random Forest,19,186.28660491563255,73.1637562009599,0.9787754969970909,251.66569154952393,2398
test,Random Forest,20,201.44127275040975,87.89321847053733,0.9711960831112844,278.37294489421083,2292
test,Random Forest,21,211.19855811977962,102.84728988915893,0.9604148248734099,298.7139903384623,2188
test,Random Forest,22,211.96195495750115,107.80565577597005,0.9575647306652226,299.79371984816015,2188
test,Random Forest,23,202.49261802831745,97.84503085629048,0.9674321419239511,286.40052509741,2188
test,Random Forest,24,189.87872952241736,80.67963855610361,0.976791635337509,259.5150238090469,2343
test,HistGradientBoosting,1,75.15637091069878,28.514523521355088,0.9965454864031391,101.53396526682054,2398
test,HistGradientBoosting,2,112.4343645723609,49.822524981038306,0.9910273498033363,155.35828418341572,2292
test,HistGradientBoosting,3,149.13684775974895,69.97785206176877,0.9802621000559697,210.9296434767595,2188
test,HistGradientBoosting,4,170.38626992447172,79.64149726368777,0.9725799045374353,240.98016897984797,2188
test,HistGradientBoosting,5,179.12516401639033,79.28549843758297,0.9745158045935035,253.33968599908397,2188
test,HistGradientBoosting,6,177.04470486994688,70.36502568554137,0.9798236632130287,241.9566032830329,2343
test,HistGradientBoosting,7,179.66942012813792,70.0355068246115,0.9802574322732603,242.6904771848617,2398
test,HistGradientBoosting,8,196.60564152451715,83.22075919260888,0.9725638487512936,271.6244497461674,2293
test,HistGradientBoosting,9,201.10091545689139,95.68634477935208,0.9641054625672381,284.3498952801703,2189
test,HistGradientBoosting,10,201.40428712116037,98.40542331843372,0.9616817463716392,284.78063679342716,2189
test,HistGradientBoosting,11,193.83875637090705,89.1761279102436,0.9701576347542715,274.08911215970625,2189
test,HistGradientBoosting,12,183.76422844206272,77.30465839964248,0.9782665950302084,251.04920464830872,2344
test,HistGradientBoosting,13,184.9378996876433,70.859986722374,0.9790867800616262,249.76944081301824,2399
test,HistGradientBoosting,14,199.21031445042055,85.57263276185896,0.97183569618748,275.2111710443346,2293
test,HistGradientBoosting,15,207.05982293492931,96.7601403612955,0.9619505574672806,292.78567625469316,2189
test,HistGradientBoosting,16,204.8287522991889,100.45468825328906,0.960365990612458,289.6349487901604,2189
test,HistGradientBoosting,17,197.33799615342193,93.07884519863325,0.9690654198696712,279.024839390215,2189
