model,horizon,RMSE,MAE,R2,daylight_RMSE
SeasonalPersistence_weekly,17,295.30613088369836,137.8795623779297,0.9307264089584351,417.5782112371286
SeasonalPersistence_weekly,18,280.15124263511666,114.1828384399414,0.9494781494140625,382.8194948340536
SeasonalPersistence_weekly,19,273.1286183970841,103.24290466308594,0.954374372959137,368.99559617968345
SeasonalPersistence_weekly,20,297.0016308877781,124.6917953491211,0.9373858571052551,410.4290628415585
SeasonalPersistence_weekly,21,307.08531489636556,145.08358764648438,0.9163109064102173,434.3338289841122
SeasonalPersistence_weekly,22,308.8678924718463,150.57408142089844,0.9098933935165405,436.85504246259995
SeasonalPersistence_weekly,23,295.29132860617494,137.83486938476562,0.9307416677474976,417.6527041095269
SeasonalPersistence_weekly,24,280.15101954124674,114.1773910522461,0.9494785070419312,382.9008724526493
Linear Regression,1,82.88866780205845,44.988197326660156,0.9957981109619141,109.08688391455455
Linear Regression,2,132.7956092200529,82.2558822631836,0.9874833226203918,178.69327115549146
Linear Regression,3,172.20187666841787,105.8755111694336,0.9736847877502441,237.32449930158919
Linear Regression,4,194.10710034990993,118.96710205078125,0.9644137024879456,267.10070958816266
Linear Regression,5,197.5871939644622,118.41018676757812,0.9689918756484985,270.541326556591
Linear Regression,6,186.56350502241858,103.68389892578125,0.9775958061218262,247.68291851680044
Linear Regression,7,184.66575591118675,93.06654357910156,0.9791441559791565,244.59174371542062
Linear Regression,8,204.54620122969774,117.3095474243164,0.9703028798103333,276.05861583185555
Linear Regression,9,214.8685099368914,128.65431213378906,0.9590224623680115,297.00670762627567
Linear Regression,10,216.09639595270903,131.50770568847656,0.9558873176574707,298.3456468594774
Linear Regression,11,206.07271736877252,123.3808364868164,0.9662718176841736,283.1345610968396
Linear Regression,12,187.84919566636424,100.4372787475586,0.977289617061615,251.58415279484518
Linear Regression,13,184.51715917835392,84.31773376464844,0.9791818261146545,247.1563033411246
Linear Regression,14,203.9977979354189,109.13308715820312,0.9704657196998596,278.018856150082
Linear Regression,15,215.59724459046316,122.7714614868164,0.9587481617927551,299.9830984822312
Linear Regression,16,219.07250333793604,129.5518798828125,0.954662024974823,304.30895073921175
Linear Regression,17,210.09357104335677,123.74768829345703,0.9649370312690735,290.7739806318647
Linear Regression,18,192.3199848234707,103.5308609008789,0.9761908650398254,257.62735018336076
Linear Regression,19,186.1490183461895,84.60670471191406,0.9788068532943726,249.4741735756429
Linear Regression,20,201.0041394163314,101.945068359375,0.9713209867477417,275.0145592736865
Linear Regression,21,209.59636618689265,112.66331481933594,0.96101313829422,294.45463360252967
Linear Regression,22,210.14568049629287,116.3375015258789,0.958288848400116,295.6566975607013
Linear Regression,23,201.57946634020044,108.59264373779297,0.9677252173423767,283.24244252936387
Linear Regression,24,187.86486374852004,89.16375732421875,0.9772813320159912,255.44578069523874
Ridge,1,82.63967520488418,43.980552673339844,0.995823323726654,108.9604913345888
Ridge,2,131.7283322433902,81.44880676269531,0.9876836538314819,177.53043313049173
