model,model_type,val_daylight_RMSE,test_daylight_RMSE,test_RMSE,test_R2,test_h1_RMSE,test_h12_RMSE,test_h24_RMSE,test_daily_total_RMSE,test_daily_total_R2,test_skill_vs_persistence_daylight,train_seconds
Ensemble_XGBoost_w0.3_GRU_w0.7,ensemble,230.83743603453925,254.06392988527514,183.12653582973715,0.9750252962112427,89.99292778202768,176.2778845406451,186.5639551869546,2384.468494235141,0.8465610146522522,0.25170660109227194,0.0
Ensemble_Random Forest_w0.5_GRU_w0.5,ensemble,230.85122711932897,254.00604385033833,182.94418334221507,0.9750750064849854,86.53570207940189,177.5846794049954,186.47754556514303,2384.6878202397897,0.8465328216552734,0.2518770925817633,0.0
Ensemble_Random Forest_w0.7_GRU_w0.3,ensemble,231.01752672957522,254.2176263804302,182.99932761146965,0.975059986114502,82.29267272591771,178.48764072233405,186.85807824723554,2391.7394297874507,0.8456238508224487,0.25125391946677833,0.0
TSMixer-lite,deep_sequence,231.93838419394925,254.04292667529634,183.17989791459107,0.9750107526779175,96.9933349836472,178.16523668353489,190.955768356837,2388.1378729043263,0.8460884094238281,0.2517684617562006,44.34996294975281
Ensemble_Random Forest_w0.7_iTransformer-mini_w0.3,ensemble,232.02289757694174,255.34864340250567,183.8044243380719,0.9748400449752808,82.71635633578616,180.04027869653223,187.17156651719299,2408.4317511609083,0.8434615135192871,0.24792273990085756,0.0
Ensemble_Random Forest_w0.3_GRU_w0.7,ensemble,232.11826861537634,255.18705608582502,183.93672485395624,0.9748038053512573,92.4456818978718,177.79163432055796,186.96147664692853,2392.6930434136343,0.8455007076263428,0.24839866232901942,0.0
Ensemble_CatBoost_w0.3_GRU_w0.7,ensemble,232.19785474891881,255.9287086402188,184.49179563397934,0.9746515154838562,95.2922826918581,177.68820897677764,186.72914458514504,2400.4767234863994,0.8444938659667969,0.24621427625348902,0.0
LSTM,deep_sequence,232.81659392373646,257.9015376553618,186.21116415577774,0.974176824092865,103.41066022629147,181.19435568264814,190.33174163811984,2431.068180862067,0.8405051231384277,0.24040371144851358,21.32071280479431
Ensemble_CatBoost_w0.5_iTransformer-mini_w0.5,ensemble,232.92657440167707,257.36071779216815,185.36401054749004,0.9744112491607666,91.28743880937289,180.23117208359102,186.36956103733786,2428.8549771445805,0.8407953977584839,0.2419965858632671,0.0
Ensemble_Random Forest_w0.5_iTransformer-mini_w0.5,ensemble,233.0417746885738,256.3545061287201,184.61045347230475,0.9746189117431641,87.03151929940383,180.43183334538006,187.1641366888967,2417.2520555374444,0.8423128128051758,0.24496017674372828,0.0
