reference_rank,task,dataset_years,comparison_scope,model,model_family,source_notebook,reference_sort_metric,reference_sort_RMSE,horizon_specific_metric,horizon_specific_RMSE,test_RMSE,test_daylight_RMSE,test_h1_RMSE,test_h12_RMSE,test_h24_RMSE,test_daily_total_RMSE,test_R2,note
35,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.5_iTransformer-mini_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,230.0984503967813,test_h1_RMSE,83.84036344726059,182.9719710433814,254.04230393282927,83.84036344726059,177.13524913007856,186.3421542150353,2393.245912980946,0.9750674366950988,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
36,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.5_GRU_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,230.2020511963349,test_h1_RMSE,91.04624619012309,183.34963824275735,254.51042924357736,91.04624619012309,176.8878970562995,185.56797314259268,2389.9116092441577,0.9749643802642822,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
37,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.7_iTransformer-mini_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,230.470476688447,test_h1_RMSE,88.3331650450441,183.9340489822371,255.45123984334077,88.3331650450441,178.75285181291514,185.26415895620505,2410.494866204863,0.9748045206069946,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
38,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.5_iTransformer-mini_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,230.4834677504007,test_h1_RMSE,83.12670933392889,182.92541384742037,254.01330243217575,83.12670933392889,177.414003155402,186.38911541114732,2392.911824535121,0.975080132484436,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
39,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.3_GRU_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,230.51768336453063,test_h1_RMSE,90.5265359490658,183.11081429697157,254.00938097834103,90.5265359490658,175.91979817696756,186.41140238059472,2383.9616188185582,0.9750295877456664,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
40,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.3_GRU_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,230.83743603453925,test_h1_RMSE,89.99292778202768,183.12653582973715,254.06392988527517,89.99292778202768,176.2778845406451,186.5639551869546,2384.468494235141,0.9750252962112428,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
41,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.5_GRU_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,230.85122711932897,test_h1_RMSE,86.53570207940189,182.94418334221507,254.00604385033836,86.53570207940189,177.5846794049954,186.47754556514303,2384.6878202397897,0.9750750064849854,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
42,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.7_GRU_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,231.0175267295752,test_h1_RMSE,82.29267272591771,182.99932761146965,254.2176263804302,82.29267272591771,178.48764072233405,186.85807824723557,2391.7394297874507,0.975059986114502,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
43,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.7_iTransformer-mini_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,232.02289757694172,test_h1_RMSE,82.71635633578616,183.8044243380719,255.34864340250567,82.71635633578616,180.04027869653223,187.17156651719296,2408.4317511609083,0.9748400449752808,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
44,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.3_GRU_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,232.11826861537637,test_h1_RMSE,92.4456818978718,183.93672485395624,255.18705608582505,92.4456818978718,177.79163432055796,186.96147664692853,2392.6930434136343,0.9748038053512572,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
45,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.3_GRU_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,232.1978547489188,test_h1_RMSE,95.2922826918581,184.4917956339793,255.9287086402188,95.2922826918581,177.68820897677764,186.72914458514504,2400.4767234864,0.9746515154838562,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
46,target_1h,20y,reference_only_from_24h_multihorizon,LSTM,deep_model,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,232.8165939237365,test_h1_RMSE,103.41066022629148,186.2111641557777,257.9015376553618,103.41066022629148,181.1943556826481,190.33174163811984,2431.068180862067,0.974176824092865,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
47,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.5_iTransformer-mini_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,232.92657440167707,test_h1_RMSE,91.28743880937289,185.36401054749004,257.36071779216815,91.28743880937289,180.23117208359105,186.36956103733783,2428.8549771445805,0.9744112491607666,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
48,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.5_iTransformer-mini_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,233.0417746885738,test_h1_RMSE,87.03151929940383,184.61045347230475,256.3545061287201,87.03151929940383,180.43183334538008,187.1641366888967,2417.2520555374444,0.974618911743164,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
49,target_1h,20y,reference_only_from_24h_multihorizon,RandomForest,boosting/tree,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,233.940622474486,test_h1_RMSE,79.61002974460881,185.0395439156182,257.1323680276367,79.61002974460881,181.88156130776423,189.0350186638709,2430.1861039846312,0.9745007753372192,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
50,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.3_iTransformer-mini_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,234.0603220859956,test_h1_RMSE,90.6518279255857,185.6942947259016,257.6686037820673,90.6518279255857,180.04091874314295,187.70586615100763,2433.252761223133,0.9743199944496156,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
51,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.3_iTransformer-mini_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,234.35638259390333,test_h1_RMSE,90.25737937282469,185.71604459160227,257.7274784050005,90.25737937282469,180.3377636114383,187.7222953094544,2433.0652477892986,0.9743139743804932,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
52,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.3_iTransformer-mini_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,235.8769955532968,test_h1_RMSE,92.86570970526472,186.70432214132052,259.0977132280407,92.86570970526472,182.1129242736495,188.14702944107304,2444.557424156774,0.9740398526191713,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
53,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.3_iTransformer-mini_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,236.3921364756028,test_h1_RMSE,95.51416677481672,187.54303672757356,260.24882924808713,95.51416677481672,182.4172115303268,188.0094641068635,2457.4714647376886,0.9738061428070068,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
54,target_1h,20y,reference_only_from_24h_multihorizon,GRU,deep_model,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,236.64889439579048,test_h1_RMSE,103.79334090965324,187.34870979673173,259.5219162228886,103.79334090965324,180.1692888820123,189.2904411050648,2432.5315003099136,0.9738603830337524,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
55,target_1h,20y,reference_only_from_24h_multihorizon,Ridge,tabular_ml,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,242.8026542405375,test_h1_RMSE,81.49358319255879,191.8178151756244,264.60825998067406,81.49358319255879,185.37865598215453,187.2372429733198,2436.040742680631,0.972598433494568,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
56,target_1h,20y,reference_only_from_24h_multihorizon,Linear Regression,other,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,243.0724316561835,test_h1_RMSE,81.65193253032962,191.94210959948316,264.61028242020376,81.65193253032962,185.46481935599,187.32436565687337,2438.365846217503,0.9725629091262816,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
57,target_1h,20y,reference_only_from_24h_multihorizon,MLP,tabular_ml,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,246.5631416341461,test_h1_RMSE,112.55387598834614,195.16013056590225,270.45821939349526,112.55387598834614,184.21030780062227,197.99814550899208,2465.8342401710624,0.9716351628303528,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
58,target_1h,20y,reference_only_from_24h_multihorizon,SVR_RBF,tabular_ml,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,315.7394594440169,test_h1_RMSE,149.77567862056242,243.65729006126617,335.3394269244224,149.77567862056242,236.6244139585981,215.26064324732008,2852.1682103270136,0.9557862877845764,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
