epoch,train_loss,val_loss,lr,task,model
1,0.07716618744079133,0.03039025924290004,0.0007,multihorizon_20y_24h,TSMixer-standard
2,0.044922109758644774,0.025304692392439945,0.0007,multihorizon_20y_24h,TSMixer-standard
3,0.041215524730975166,0.02401016494664161,0.0007,multihorizon_20y_24h,TSMixer-standard
4,0.03706387084042817,0.025933961606705965,0.0007,multihorizon_20y_24h,TSMixer-standard
5,0.03756611987033434,0.027958678162616234,0.0007,multihorizon_20y_24h,TSMixer-standard
6,0.03498281805356692,0.02622743918681922,0.00035,multihorizon_20y_24h,TSMixer-standard
7,0.032378795758238314,0.022328303195536137,0.00035,multihorizon_20y_24h,TSMixer-standard
8,0.03172374388192132,0.021664576159547203,0.00035,multihorizon_20y_24h,TSMixer-standard
9,0.03158944201443279,0.02190543571487069,0.00035,multihorizon_20y_24h,TSMixer-standard
10,0.031612634528101535,0.023789835526891377,0.00035,multihorizon_20y_24h,TSMixer-standard
11,0.031158986593983327,0.022762883859484093,0.000175,multihorizon_20y_24h,TSMixer-standard
12,0.029562022929128847,0.022300130950853876,0.000175,multihorizon_20y_24h,TSMixer-standard
13,0.029428172257472896,0.02181377871285962,0.000175,multihorizon_20y_24h,TSMixer-standard
1,0.07702114291445554,0.0295314004280321,0.0007,multihorizon_20y_24h,PatchTST-standard
2,0.04711877182126045,0.029358468990287056,0.0007,multihorizon_20y_24h,PatchTST-standard
3,0.0409964853407521,0.027868381903871246,0.0007,multihorizon_20y_24h,PatchTST-standard
4,0.03824653849005699,0.027924221960584753,0.0007,multihorizon_20y_24h,PatchTST-standard
5,0.036074323557883675,0.024169671673165714,0.0007,multihorizon_20y_24h,PatchTST-standard
6,0.03473471806586137,0.025545524615470484,0.0007,multihorizon_20y_24h,PatchTST-standard
7,0.034604215286454264,0.023511297666751172,0.0007,multihorizon_20y_24h,PatchTST-standard
8,0.03276937481081277,0.023791061268876427,0.0007,multihorizon_20y_24h,PatchTST-standard
9,0.03265978135604259,0.024368356386928455,0.0007,multihorizon_20y_24h,PatchTST-standard
10,0.03197919088279643,0.023594001571283392,0.00035,multihorizon_20y_24h,PatchTST-standard
11,0.02979747416201042,0.023633401456248503,0.00035,multihorizon_20y_24h,PatchTST-standard
12,0.029686682427312896,0.022770217376882614,0.00035,multihorizon_20y_24h,PatchTST-standard
13,0.02949443508527781,0.0225080002868629,0.00035,multihorizon_20y_24h,PatchTST-standard
14,0.029392940520543104,0.023086118106932743,0.00035,multihorizon_20y_24h,PatchTST-standard
